product_id,product_name,category,unit_price,unit_cost
P0001,Wireless Earbuds,Electronics,59.99,31.49
P0002,Bluetooth Speaker,Electronics,45.99,29.44
P0003,Smartwatch,Electronics,149.99,89.45
P0004,Laptop Stand,Electronics,29.99,17.09
P0005,Power Bank,Electronics,24.99,12.03
P0006,USB-C Hub,Electronics,34.99,16.84
P0007,Air Fryer,Home & Kitchen,89.99,41.54
P0008,Coffee Maker,Home & Kitchen,64.99,40.5
P0009,Blender,Home & Kitchen,39.99,22.8
P0010,Cookware Set,Home & Kitchen,129.99,76.9
P0011,Vacuum Cleaner,Home & Kitchen,159.99,72.65
P0012,Toaster,Home & Kitchen,27.99,18.03
P0013,Running Shoes,Apparel,79.99,49.31
P0014,Denim Jacket,Apparel,69.99,34.47
P0015,Winter Coat,Apparel,119.99,58.36
P0016,Yoga Pants,Apparel,34.99,17.03
P0017,Cotton T-Shirt,Apparel,14.99,7.66
P0018,Backpack,Apparel,49.99,27.74
P0019,Face Serum,Beauty & Personal Care,32.99,17.7
P0020,Hair Dryer,Beauty & Personal Care,42.99,21.85
P0021,Electric Toothbrush,Beauty & Personal Care,54.99,31.47
P0022,Perfume,Beauty & Personal Care,74.99,35.84
P0023,Skincare Set,Beauty & Personal Care,89.99,45.75
P0024,Yoga Mat,Sports & Outdoors,22.99,12.03
P0025,Dumbbell Set,Sports & Outdoors,99.99,54.12
P0026,Camping Tent,Sports & Outdoors,189.99,115.33
P0027,Water Bottle,Sports & Outdoors,15.99,7.83
P0028,Cycling Helmet,Sports & Outdoors,44.99,24.87
P0029,Ergonomic Chair,Office Supplies,249.99,142.12
P0030,Standing Desk,Office Supplies,329.99,151.56
P0031,Notebook Set,Office Supplies,9.99,5.71
P0032,Desk Organizer,Office Supplies,19.99,9.68
P0033,Monitor Arm,Office Supplies,59.99,27.78
